SID,First Name,Last Name,Name,Section,Email Address,Exam 1 Score,Exam 2 Score,Exam 3 Score,Homework Score,Quiz Score,Final_Score,Final Score,Ceiling Score,Grade
dma58910,Daisy,Anderson,"Anderson, Daisy Michael",2,daisy.anderson@univ.edu,0.92,0.66,0.94,0.7243243243243244,0.5636643748408454,0.7118290421819834,0.7118290421819834,72.0,C
lba53221,Lauren,Anderson,"Anderson, Lauren Billy",2,lauren.anderson@univ.edu,0.94,0.67,0.86,0.793638888888889,0.6120091673032849,0.7440583057465411,0.7440583057465411,75.0,C
vkb66346,Victoria,Boyd,"Boyd, Victoria Kimberly",2,victoria.boyd@univ.edu,0.68,0.93,0.69,0.8189189189189189,0.5599388846447669,0.7260492329609975,0.7260492329609975,73.0,C
lmb95641,Lauren,Brock,"Brock, Lauren Mark",2,lauren.brock@univ.edu,0.75,0.72,0.96,0.827027027027027,0.7391304347826086,0.8060499412455934,0.8060499412455934,81.0,B
ksb85997,Kelsey,Brown,"Brown, Kelsey Steven",2,kelsey.brown@univ.edu,0.8,0.69,0.83,0.8335158730158729,0.754367201426025,0.7932165096341567,0.7932165096341567,80.0,B
cxc08121,Charles,Campbell,"Campbell, Charles",2,charles.campbell@univ.edu,0.66,0.96,1.0,0.7968571428571429,0.8115942028985508,0.8412211180124225,0.8412211180124225,85.0,B
lxc64780,Lorraine,Carter,"Carter, Lorraine",2,lorraine.carter@univ.edu,0.68,0.69,0.99,0.7405405405405405,0.782608695652174,0.7824988249118684,0.7824988249118684,79.0,C
amc28428,Adam,Cooper,"Cooper, Adam Melvin",2,adam.cooper@univ.edu,0.65,0.63,0.9,0.8501587301587301,0.7101449275362319,0.7836069703243617,0.7836069703243617,79.0,C
axc64717,Alec,Curry,"Curry, Alec",2,alec.curry@univ.edu,0.65,0.78,0.83,0.8756756756756757,0.7442806213394448,0.8085544566721038,0.8085544566721038,81.0,B
wad63934,William,Daniel,"Daniel, William Austin",2,william.daniel@univ.edu,0.84,0.91,0.95,0.7700952380952379,0.6265215176979883,0.7714945505474917,0.7714945505474917,78.0,C
axd11293,Amber,Daniels,"Daniels, Amber",2,amber.daniels@univ.edu,0.68,0.95,0.88,0.8432432432432433,0.7101449275362319,0.8113407755581669,0.8113407755581669,82.0,B
